WAVE_STATE;START_TIME;MARKER;PULSE_WIDTH;WAVE_WSEG;OUTP_STATE;FREQ;POW;PHASE
1;0.927602977756697;0;1.494296121048347e-06;1;1;2993082615.5471253;-51.14286642739038;55.07787489613345
1;0.4707427591452791;0;9.127807710811942e-06;1;1;3494545083.0396714;-57.25505113276046;307.61853098840606
1;0.10289923194829198;0;3.3163498923162805e-06;1;1;3925961846.9796653;-52.969550929311126;22.66298239212663
1;0.9708410536214311;0;2.2571151994917536e-06;1;1;3615293682.732309;-67.91278871715704;105.0530980036072
1;0.9536925212137022;0;9.799721483263853e-06;1;1;3265421574.0470357;-43.090783739862886;350.79059593950524
1;0.4689223057644111;1;2.1247642088858975e-06;1;1;3201848832.7193995;-26.00574179276736;24.21975817658766
1;0.9524149512014751;0;4.127008073062436e-06;1;1;2917682885.627046;-41.86593821828603;24.884430002638446
1;0.9214740618724953;0;2.873738856702466e-06;1;1;3853221347.7614126;-57.03380105895539;255.28995848218852
1;0.09629064731735493;0;3.2391889676681516e-06;1;1;3168065377.7107544;-53.68528165557096;139.5724340612779
1;0.38173757156144206;0;8.285041395050454e-06;1;1;2143934472.782061;-45.05270097971288;297.57665878179085
1;0.32857142857142857;1;2.0215067458236454e-06;1;1;3265594043.676661;-22.87933846611398;273.43824872477876
1;0.8759398496240601;1;1.8894093322910819e-06;1;1;3283415812.663409;-23.586975452713723;261.6539063209044
1;0.7042101760906395;0;6.9618736556623925e-06;1;1;3460566101.525093;-50.94888353654996;262.0739022296853
1;0.75910128458004;0;6.268412858575614e-06;1;1;3656870883.4447117;-57.56974805051391;184.6873088112545
1;0.797904160185272;0;2.1350157955487966e-06;1;1;3073801102.6505046;-64.21083521576145;84.26970783320856
1;0.5209617631763668;0;7.72301321535933e-06;1;1;3356426143.4474754;-62.426893717942015;269.6493574381789
1;0.15413533834586468;1;1.961663329683426e-06;1;1;3319157374.4825916;-21.38289417826158;35.168292931746514
1;0.5992616148776619;0;8.714387062938409e-06;1;1;2401902526.0354314;-69.9455393715055;357.7865953091521
1;0.12276058569393156;0;9.4877712613099e-06;1;1;2980377887.38634;-48.02792746849365;196.41646794844758
1;0.30048417457844634;0;2.732342412955049e-06;1;1;2048967640.5218523;-52.92044036530633;279.9340171055132
1;0.7637902030072464;0;4.540709060019299e-06;1;1;3373102397.114463;-59.839262523228825;60.96976603921928
1;0.4687923686890002;0;2.75345318583825e-06;1;1;3664438268.7349405;-69.3351831136215;2.683347014773827
1;0.8157760805172238;0;9.997036634912221e-07;1;1;3602047226.472446;-48.55798430430565;212.8906937781239
1;0.6754385964912281;1;1.967053938073326e-06;1;1;3398028475.3405232;-24.093129852693725;298.5759079253692
1;0.8598997493734335;1;1.923189973311741e-06;1;1;3244466700.739375;-25.780790182907822;238.51527870527326
1;0.8815648892094529;0;6.502696669005567e-06;1;1;2776696982.9710445;-56.897732045769786;252.28943723128708
1;0.34060150375939846;1;1.9641351200291844e-06;1;1;3264103244.8888545;-22.45684666278823;38.57132779299076
1;0.17218045112781954;1;2.1192628388113693e-06;1;1;3283437316.2648697;-25.185821772678633;284.98865580662033
1;0.8881767900850331;0;6.627867179061661e-06;1;1;2369965310.3262925;-51.655038425934066;329.14399929324094
1;0.4789473684210527;1;1.8887474478817815e-06;1;1;3291155823.9013033;-28.68704719751281;13.23017020551806
1;0.09230085273995003;0;7.489740519593818e-06;1;1;3098311393.402451;-43.80770668797631;92.20595242542558
1;0.05448719556435189;0;9.875508108398134e-06;1;1;3883923841.4987135;-43.26230482848157;164.8121375564674
1;0.12005012531328321;1;2.0326189449401256e-06;1;1;3258351796.9871755;-21.526430029765017;123.66111063745598
1;0.3901822153955331;0;4.624280389493416e-06;1;1;3072713198.752543;-62.577121385703;110.55688371886478
1;0.7212449349716857;0;4.847966312169902e-06;1;1;3229526470.738673;-42.05718900454912;261.08873651959874
1;0.8275234271531319;0;8.680738986445223e-06;1;1;2577874694.530491;-46.86170008490281;296.20359875745766
1;0.31854636591478697;1;1.9207112126640426e-06;1;1;3250176003.8096933;-23.741371162828834;157.78539886053682
1;0.7716791979949874;1;2.08640234947158e-06;1;1;3321876381.390098;-25.463986449899707;308.9238787235004
1;0.882252194763668;0;9.669483822827263e-06;1;1;3072249848.014412;-66.02063307711137;216.79516332766624
1;0.4167919799498747;1;1.8214418881522401e-06;1;1;3222840321.43276;-25.50655900766895;265.78516574201274
1;0.8052014927457043;0;9.581242791361507e-06;1;1;2438458771.0612664;-59.524860887623845;358.99862239267077
